username,created_at,full_text
Bisniscom,Wed May 15 22:51:10 +0000 2024,GE Vernova Ikut Berpartisipasi Ciptakan Listrik Bersih di IKN https://t.co/cqGnwtanbQ
palingteguh,Wed May 15 22:48:47 +0000 2024,@tanyarlfes Gak mungkin gratis semua PTN. Orang negara maju kayak Jerman aja yg katanya kuliahnya gratis tuh ada biaya nya loh kalo gak salah 30 apa 300 euro per semester tapi itu udah mencakup buat transportasi kantin dll *cmiiw Indo negara berflower makan gratis mau dijalanin IKN
Rfadlis1,Wed May 15 22:46:28 +0000 2024,Anies-Cak Imin ternyata yg benar dgn program Perubahan Kaji ulang IKN. Tapi buzer Prabowo antipati krn melawan berkelanjutannya Jokowi. https://t.co/3IqWXGbCZ8
nayhuangsgf,Wed May 15 22:41:29 +0000 2024,@tanyarlfes yang kebutuhan primer itu ikn doang 
Mitadwiku,Wed May 15 22:41:15 +0000 2024,IKN sebagai kebanggan bangsa menuju Indonesia emas #IKN #IKNNusantara #InvestasiIKN #IKNMajukanIndonesia #ekonomi #prayforsumbar sandra dewi ten hag Amad sulsel makassar https://t.co/rfldu4TTSt
Beren009988197,Wed May 15 22:39:59 +0000 2024,IKN sebagai kebanggan bangsa menuju Indonesia emas #IKN #IKNNusantara #InvestasiIKN #IKNMajukanIndonesia #ekonomi #prayforsumbar sandra dewi ten hag Amad sulteng palu https://t.co/xBYy9IA5EK
Nomahbirashn,Wed May 15 22:39:15 +0000 2024,Nilai investasi di Balikpapan meningkat pesat berkat pembangunan IKN Nusantara https://t.co/bDrX2wFLbl
Aelya1870183265,Wed May 15 22:38:33 +0000 2024,IKN sebagai kebanggan bangsa menuju Indonesia emas #IKN #IKNNusantara #InvestasiIKN #IKNMajukanIndonesia #ekonomi #prayforsumbar sandra dewi ten hag Amad surabaya jatim https://t.co/tr0Wpqt2ob
vernandouda,Wed May 15 22:36:40 +0000 2024,IKN sebagai kebanggan bangsa menuju Indonesia emas #IKN #IKNNusantara #InvestasiIKN #IKNMajukanIndonesia #ekonomi #prayforsumbar sandra dewi ten hag Amad sumbar padang https://t.co/RsrEMKNXtH
Mardini444222,Wed May 15 22:34:00 +0000 2024,@el4n9bint4n9 Mantap... Bisa dipakai Modal bikin IKN.
gemasulawesi,Wed May 15 22:31:52 +0000 2024,Prabowo Subianto menilai jika modal utama dalam memindahkan dan membangun IKN harus berasal dari sumber daya dalam negeri. #prabowosubianto #IKN #MenteriPertahanan https://t.co/LWLCcfs8wn
Kanseulir,Wed May 15 22:28:06 +0000 2024,Jika Jakarta Masih Berstatus Ibukota Lalu Status IKN Apa? Ibukota Nanti.. https://t.co/90Go5Fl0Z5
exoxe85,Wed May 15 22:25:26 +0000 2024,@aniesbaswedan demi sukses nya perubahan 2029 pak @aniesbaswedan harus menjadi gubernur jakarta kita tunjukan pak bahwa jakarta lebih ramah di bandingkan ikn.
draba_laudra88,Wed May 15 22:20:05 +0000 2024,@AsepWitoko Gak guna itu IKN ini lebih penting. @jokowi @AgusYudhoyono @prabowo @erickthohir
Tokek15785868,Wed May 15 22:19:45 +0000 2024,@psi_id @grace_nat Melok...ke IKN..yA?
AchmadGandut,Wed May 15 22:15:56 +0000 2024,Waspada dan Hati2 Terhadap Makhluk2 Ghoib Penunggu Istana di Alas IKN Kalau Ketemu Gunakan BPJS KRiS Untuk MenampolNya
luckyhuzky,Wed May 15 22:12:33 +0000 2024,@UGM_FESS monitoring pembangunan proyek IKN
bapakayammmm,Wed May 15 22:12:00 +0000 2024,@noviantiekasari Disuruh pindah ke IKN ya maneh no?
kalotwdiem,Wed May 15 21:58:30 +0000 2024,Atur2 aja. Yg padat nnti IKN. Kalo IKN diguncang gempa jg pd rubuh semua itu bangunan.
Sri_nuryantiK,Wed May 15 21:49:47 +0000 2024,@Mdy_Asmara1701 Untuk DKI kayanya g apa apa karena DKI kan levelnya udah nasional. lagian banyak yg blum selesai ketika d tinggal pak anies. Dan orang orang itu udah pada di IKN g banyak yg recokin.
NanaLeonyy1,Wed May 15 21:39:27 +0000 2024,Balikpapan Berkembang! Dengan IKN Nusantara investasi di Balikpapan melonjak drastis. Kota ini menjadi magnet bagi investor dan pelaku bisnis nasional maupun internasional. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/3GgsAhy2oz
afiyahm_,Wed May 15 21:30:33 +0000 2024,@itsquaileggs Soalnya kebutuhan primernya ikn sm makan siang bang
RagilKusuma89,Wed May 15 21:26:24 +0000 2024,@DrEvaChaniago Efek mabuk IKN nya @jokowi ini! Ngga punya duit banyak gaya.
dakuy_iskandar,Wed May 15 21:25:01 +0000 2024,Tapi ikn primer
taegurl_,Wed May 15 21:18:00 +0000 2024,1. Bkal banyak korupnya 2. Hrus ada ilmunya which is pake scientist ahli waste management tpi bkal banyak yg ditunggangi politik 3. Males ngluarin duid buat bginian. Mnding buat bangun fk dan proyek ikn 4. Emng gamau maju aja sih
ForRezim,Wed May 15 21:16:56 +0000 2024,Ada dugaan bhw Pantai Indah Kapuk / PIK tsb ke depannya menjadi Singapura di Indonesia yg Terkait IKN ke Kalimantan. Waspada dan Stoplah aset gedung kantor dll yg di DKI Jakarta di jual pd pihak ke 3 atau pd oligarki Aseng Asing aroma komunis. Mencegah lbh baik drpd di tindas! https://t.co/AZBFhKnxpI
FirdausyMuh,Wed May 15 21:13:17 +0000 2024,@nak_Negeri Wah wah waaahh..keren nih IKN bakal jadi HAMBALANG ke 2 Jogetin aja..Ok gas Ok gaass
terindukan,Wed May 15 20:47:00 +0000 2024,Potensi Tak Terbatas! Pembangunan IKN Nusantara meningkatkan daya tarik Balikpapan sebagai pusat investasi mempercepat kemajuan infrastruktur dan perekonomian daerah. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/Emg2PfMMER
YawanMul23956,Wed May 15 20:44:47 +0000 2024,@B_nin927 @CantikSeorang Gitu Kok Ngotot IKN. Kan Guoblok.
fajar_rohmat22,Wed May 15 20:43:51 +0000 2024,@Joaquicordoba Keren kalau jadinya seperti yg seperti ini semoga Pembangunan Lancar dan bisa terwujud impian pembangunan IKN KARYA ANAK BANGSA semoga berbanding lurus dengan pembangunan SDM nya tetap bersyukur untuk INDONESIA yang lebih maju
DikiSaputr69549,Wed May 15 20:43:33 +0000 2024,@Boediantar4 Yang penting perut terisi dulu Urusan ikn serahkan pada para pejabat2 korup Mau dibikin dia gimana bumi ini lantaklah situ
emang_dasar,Wed May 15 20:29:31 +0000 2024,@talangijoo Itu tidak akan terjadi ini yg sedang terjadi SINGAPURA JILID 2 BERADA DI IKN. https://t.co/KvFWVPvFYX
nsingnings,Wed May 15 20:28:11 +0000 2024,Balikpapan Berkembang! Dengan IKN Nusantara investasi di Balikpapan melonjak drastis. Kota ini menjadi magnet bagi investor dan pelaku bisnis nasional maupun internasional. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/DUpwNUXEC1
avivapip,Wed May 15 20:26:53 +0000 2024, tapi di ikn y.. 
tornbread_05L,Wed May 15 20:22:16 +0000 2024,Cocok nih jadi tumbal proyek IKN biar cepat selesai dan diresmikan..
rival_fadil23,Wed May 15 20:01:53 +0000 2024,@Joaquicordoba IKN menjadi momentum penting untuk merangkul semua elemen masyarakat dalam menghadapi tantangan yang dihadapi oleh Indonesia saat ini
ShaniaLorenzz,Wed May 15 19:46:12 +0000 2024,Lonjakan Ekonomi! Berkat IKN Nusantara Balikpapan mengalami kenaikan tajam dalam nilai investasi membuka jalan bagi perkembangan yang berkelanjutan dan inovatif. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/xyetJOX6up
Jay176334145731,Wed May 15 19:41:10 +0000 2024,@geloraco Mungkin biar lebih deket ikn lebih cepet mengangkut SDA indonesia kan mumpung lagi pada mesra sama pejabat negeri konoha
Ikn210,Wed May 15 19:12:30 +0000 2024,@castrofy26 Hey Castro.Nilishinda CS but sijakua online.Please cheza kama wewe @castrofy26
KreatorMe,Wed May 15 19:06:10 +0000 2024,@KartoHeru49406 @CNNIndonesia Yg benar duit BPJS mo dipakai dulu untuk IKN
EkoApan,Wed May 15 19:03:04 +0000 2024,@Gojeck7 @CNNIndonesia @prabowo @fadlizon IKN aman nih danana
RenataOlivvr21,Wed May 15 18:54:17 +0000 2024,Lonjakan Ekonomi! Berkat IKN Nusantara Balikpapan mengalami kenaikan tajam dalam nilai investasi membuka jalan bagi perkembangan yang berkelanjutan dan inovatif. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/JWaPg1I8F6
ekarinayo,Wed May 15 18:46:34 +0000 2024,Transformasi Ekonomi! Pembangunan IKN Nusantara mendongkrak nilai investasi di Balikpapan menciptakan peluang bisnis baru dan memperkuat pertumbuhan ekonomi lokal. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/1nMDoFBWyL
hafizharyax,Wed May 15 18:29:10 +0000 2024,Tentu saja kebutuhan primernya adalah membangun IKN Food Estate dan KCIC awkwkwkwk
MyeCutt,Wed May 15 18:29:00 +0000 2024,Presiden terpilih Prabowo tegas nyatakan sikap akan lanjutkan pembangunan IKN https://t.co/wCCKAmjzDy
sasasancai,Wed May 15 18:22:29 +0000 2024,Gua lebih pilih bangun IKN biar 17 Agustus kita bisa upacara disono (rp only)
pillarezha,Wed May 15 18:20:44 +0000 2024,@UusRsd @kemkominfo Putar otak bro sebenernya bukan karna judi online tapi kerja sulit gaji ditunda 3 bulan gimana gk pinjol terus judi. Salah orang solo yang mikirin IKN.
ryuljitn,Wed May 15 18:15:47 +0000 2024,Era Baru Investasi! IKN Nusantara membawa angin segar bagi Balikpapan dengan peningkatan signifikan dalam investasi yang memperkuat posisi kota ini sebagai hub ekonomi strategis. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/sM1ADfj3SU
OrangutanIKN,Wed May 15 18:11:11 +0000 2024,@Mundiwangi4 Puji tukang!
idn_media,Wed May 15 18:06:28 +0000 2024,IKN Dorong Investasi di Kota Balikpapan Naik Signifikan https://t.co/xyB3zlgJsh
anggianidewi,Wed May 15 17:59:10 +0000 2024,@tanyakanrl Kayaknya karena sekarang univ negri dicabut subdisi dari pemerintah nya suruh cari uang sendiri. Pemerintah ga punya duit abis buat utang sm buat ikn. Malah sektor penting pendidikan dicabut dana nya. Jdnya biaya pendidikan makin mahal
PakuHalus404,Wed May 15 17:49:50 +0000 2024,@Bambangmulyonoo @prabowo Naga nahanya IKN mangkrak
deneboraria,Wed May 15 17:38:12 +0000 2024,pendidikan tinggi tidak perlu ikn nomor satu
IqramZ4ldi76,Wed May 15 16:49:49 +0000 2024,ASN siap ke IKN Fuji Nahan Sandra Dewi Malam Tempe Qodari Ketek Sekjen PBB Long Chat Kebangun Indomie Butuh https://t.co/tcNiNDIZKU
Ardians45160154,Wed May 15 16:41:36 +0000 2024,@ajengcute16__ pemuja kebodohan sebelum makan taik dia berbunyi: IKN tidak ada urgensinya itu tidak baik. setelah makan taik : IKN adalah maha karya yg hrs dibanggakan. trus pemakan asamsulfat langsung tepuk tangan 
deepinbeomie,Wed May 15 16:40:22 +0000 2024,@gryffindowoon Ouhhh iyaa itu jugaaa pdhal kenyataannya tingkat stunting di sekitar IKN termasuk tinggi dan sekarang SDA nya udh dirusak pdhal sebagian besar mata pencaharian warganya dari situ 
zero_absolutee,Wed May 15 16:37:13 +0000 2024,@Tfhanks @tanyarlfes Sebenernya yg membebani &amp; bikin bengkak itu proyek2 mercusuar kyk pembangunan patung sukarno di ikn &amp; rumah dinas pejabat itu yg menelan milyaran dana. Coba itu bs dialihkan ke program yg lebih tepat guna kyk pendidikan tinggi gini...
dinoswadaya,Wed May 15 16:25:19 +0000 2024,@ceokanzler malah pilih yg ikn oriented miris
fthrrrrrhmd,Wed May 15 16:23:08 +0000 2024,Presiden terpilih Prabowo Subianto tegas nyatakan sikap akan lanjutkan pembangunan IKN https://t.co/S3qxhhff38
kindpplnotexist,Wed May 15 16:19:03 +0000 2024,@ARSIPAJA Betul bu. Yg Primer itu adalah bikin rumah mewah di IKN untuk para pejabat ^^
akuadalahramen,Wed May 15 16:15:48 +0000 2024,lu ga mungkin bisa ngeyakinin gua kalo pembangunan IKN lebih penting daripada kesejahteraan petani
thwnderlust,Wed May 15 16:07:37 +0000 2024,@Yummyybanana Kalimantan gas ikn
Mantanmontir22,Wed May 15 16:03:31 +0000 2024,@B_nin927 @CantikSeorang Mentri PUPR nya lagi seneng2 punya rumah baru di IKN.. sabar ya dek.. entah kapan tuh jembatan Jadi.. mungkin sampai ganti Orang blom tentu juga...
cheezietomato,Wed May 15 16:01:11 +0000 2024,Kena mental ga kira kira tu nenek nenek boomer gue bilang kalau suami saya ga dipindahin ke IKN saya mau resign aja bu . Tsunami faktaaaaaa.
rysanthel,Wed May 15 16:00:46 +0000 2024,@monologuest6x2 Maklum IKN masih utang kayaknya ini ok gas
straycow,Wed May 15 16:00:01 +0000 2024,@shiningyttrium @Rainmaker1973 gak cukuup anggaran makan gratis ikn nya nnti kurang
sweggienf,Wed May 15 15:56:18 +0000 2024,@virarapf Ekstra jembatan panjang berarti yaa kalo sampe ikn
malikbekasi,Wed May 15 15:55:24 +0000 2024,@chenoa2104 @prabowo @gibran_tweet betul IKN gak urgent. makan siang juga gak urgent. naikin gaji hakim pemborosan. mending pangkas semua anggaran 2000T tiap tahun buat bayar hutang. cukup 4 tahun saja negara terbebas jeratan hutang nya. tahun ke 5 jadi raksasa ekonomi.. hati2 bocor bocor 2030 bubar
OposisiCerdas,Wed May 15 15:55:15 +0000 2024,Faisal Basri Minta Anggaran IKN Buat Program Makan Siang Gratis https://t.co/KkPemmro1e
arkanbelajar,Wed May 15 15:49:41 +0000 2024,kalau kalimantan msi enggak kebagian film yg tayang di jakarta mnding gausa jd ikn baru deh.... /jk
achhafidz,Wed May 15 15:45:28 +0000 2024,@Rainmaker1973 drpd gae ikn hutan hijau jd kota mending duwek e gae ngenean.. gak nyucuk pikirane..
jennanadia,Wed May 15 15:43:22 +0000 2024,@fellexandro Mungkin pajaknya dialokasiin buat rumah pejabat di IKN Ko 
afnanboma10,Wed May 15 15:42:18 +0000 2024,prediksi ikn bakal jadi apa nggak dong min
democrazymedia,Wed May 15 15:40:00 +0000 2024,Hasil Uji di 3 Kelompok Masyarakat Adat dan Lokal: 'Proyek IKN Tak Koheren dan Gagal Uji Legitimasi' https://t.co/FgCXUVLnsA
RiknakomloSalma,Wed May 15 15:39:45 +0000 2024,10 Strategi Pengembangan Desa di Sekitar IKN https://t.co/upJY5CN8Lk
FutritorziKiki,Wed May 15 15:38:54 +0000 2024,IKN Cermin Transformasi Indonesia Menuju Negara Maju Modern https://t.co/XEjuAdyBYi
tara_80kayla7,Wed May 15 15:38:07 +0000 2024,Jalan tol IKN yang sudah mulai disiapkan Fuji Sandra Dewi Ketek Indomie Ginting Nahan Tempe Filipina Penthouse https://t.co/UxO8yJeXLr
burasuda1974,Wed May 15 15:38:01 +0000 2024,Gunakan Sistem Ganti Untung Pembebasan Lahan IKN Tak Akan Rugikan Rakyat https://t.co/bzy1iUUolc
BBekas806,Wed May 15 15:37:33 +0000 2024,Persiapan kurang dari 100 hari jelang HUT RI di IKN Fuji Sandra Dewi Ketek Indomie Ginting Nahan Tempe Filipina Penthouse https://t.co/J6yheX44y3
abdulla71088263,Wed May 15 15:36:42 +0000 2024,di IKN Kaltim malah buat Garuda Pancasila.. ga' salah tuu mbah yaaaai
KanaTyana805,Wed May 15 15:36:31 +0000 2024,IKN siap jadi saksi HUT RI ke 79 Fuji Sandra Dewi Ketek Indomie Ginting Nahan Tempe Filipina Penthouse https://t.co/5tybzYlJzU
pandekamarajo,Wed May 15 15:19:27 +0000 2024,@Simbok_Dharmi IKN mbok. 
traditionaldoct,Wed May 15 15:19:03 +0000 2024,@Jatayu_45back Gendeng ko ngajak ngajak...itu bukan di caplok tapi kerja sama namanya investor..karena negara Eropa Amerika Australia kagak berani membangun ikn jadi di rayulah China agar mau menanamkan modal di ikn..begicu bung kompor ceritanya aslinya sengaja di tutupi agar mudah korupsi 
nak_Negeri,Wed May 15 15:17:29 +0000 2024,Luarbiasa BERHALA CELENG ini.. Menggebu2 bangun IKN.. janjinya selesai sebelum habis masa jabatannya.. Manaaaaa Joook..??? https://t.co/d6KoJVyCXA
linggakhrisna_,Wed May 15 15:15:22 +0000 2024,@egitzx Anjay perintis ikn 
amelcewaw,Wed May 15 15:14:23 +0000 2024,Sementara rumah mewah untuk para pejabat di IKN @jokowi ????
shotaroseunghan,Wed May 15 15:11:57 +0000 2024,@dinzsupremacy ((proyek ikn)) waduh Tapi emang kalau sekarang apa apa serba mahal tuh kalau curiga duitnya mau dibawa kemana selalu buat itu itu
SyaqofulyMuth,Wed May 15 15:10:23 +0000 2024,ini maksud pemerintah mau subsidi silang antar rakyat atau mau nyari cuan tambahan buat ok gas ikn ok gas ikn? @KemenkesRI
mamanjunaedi,Wed May 15 15:09:54 +0000 2024,@Bambangmulyonoo @prabowo Indikasi nh IKN nggak lanjut ya berattttt
RaharjoKoerdis1,Wed May 15 15:05:59 +0000 2024,@kumparan Maaf.. uangnya akan digunakan untuk pembangunan IKN dan makan siang gratis.. https://t.co/qMmgn3cMoT
tvOneNews,Wed May 15 15:05:35 +0000 2024,Pembangunan Kualitas SDM Salah Satu Tantangan Kaltim Pasca Kehadiran IKN: Wakil ketua DPD RI Mahyudin mengatakan bahwa salah satu tantangan terbesar Kalimantan Timur (Kaltim) sebagai wilayah penyangga Ibu Kota Negara (IKN) Nusantara adalah bagaimana https://t.co/O7tUcIy0B7 https://t.co/WA2dFsf9hw
mebabytamvan,Wed May 15 14:59:43 +0000 2024,Kayaknya emang berat sih diperkirakan dana pertahun untuk program makan siang gratis mencapai 500 trilyun klo gak salah. Padahal untuk ikn aj masih kembang kempis...
Hy7peony,Wed May 15 14:58:29 +0000 2024,paskibra tahun ini udah di ikn (cita-cita yg sudah direlakan)
rthurbraga,Wed May 15 14:58:05 +0000 2024,Pendidikan tinggi adalah kebutuhan tersier Syarat melamar pekerjaan di BUMN/ASN/Perusahaan bonafid mayoritas Min S1 Anjink banget tuh yang ngomong. ngaku aja subsidi dihapus karena buat biaya IKN PSN dan hutang yang numpuk kek TPSA Bantar gebang. https://t.co/upZF3jW0yR
hidhid2024,Wed May 15 14:48:52 +0000 2024,@tadzkiadara KARENA MEMBANGUN IKN DAN BIAYA MAKAN SIANG GRATIS GAK MURAH JADI YA ANGGARAN DI BBRP KEMNTRIAN DIPOTONG BUAT IKN DAN MAKSI GRATIS .. SAMPAI DISINI PAHAM UKHTI ???
sirulhaq,Wed May 15 14:46:27 +0000 2024,@Penerang_Jiwa1 @ArkanantaDevan @eggggsie @KompasTV Prabowo tidak mau berkantor di IKN
letterlykgw,Wed May 15 14:45:09 +0000 2024,ini UKT pada naik soalnya pemerintah motong buat makan gratis dan IKN kah jd keinget bocor alus nya tempo ttg efisiensi anggaran
sin2023chan,Wed May 15 13:46:35 +0000 2024,@onorus7940 @temponewsroom tdk juga........masak lupa waktu 2012 2014 2017 2019 disisi mana liputan tempo termsk pandangan tokohnya spt bambang harimurti gunawan mohamad dll. Kayaknya setelah IKN dan makin intensif setelah paman beraksi baru balik badan.
smartizen_,Wed May 15 13:45:49 +0000 2024,Faisal Basri Usulkan Anggaran IKN Direlokasi ke Program Makan Siang Gratis: Lebih Urgent! - https://t.co/0JAWIbSgK1 https://t.co/WYPjALaFMr
guterrrrrrr,Wed May 15 13:42:04 +0000 2024,buat rumah mentri di ikn dulu dong
sarahvaty,Wed May 15 13:40:12 +0000 2024,@ABjodohComeback Ini duit buat lanjut bangun IKN jangan2
cahy4nto,Wed May 15 13:38:42 +0000 2024,@5teV3n_Pe9eL Uang untuk bikin sambungan internet yang cepat tidak ada nak sudah habis untuk bikin tol dan IKN sabar yaa :(((
herricahyadi,Wed May 15 13:34:07 +0000 2024,@kopipagi98 Nah ini. LPDP masih mending uangnya utk pendidikan itu IKN dana triliunan bisa satu generasi free pendidikan tinggi sampai doktoral bahkan ‍️
PutunMy,Wed May 15 13:33:56 +0000 2024,Presiden Jokowi Sahkan UU DKJ: Jakarta Tetap Jadi Ibu Kota Nasib IKN Justru Jadi Begini @myputun https://t.co/wAjDPcPHLz
pawmesans,Wed May 15 13:33:35 +0000 2024,kenapa temen temenku menyesal di ikn
dicksick66,Wed May 15 13:31:51 +0000 2024,@gaprasetya_ @tempodotco nggo mbangun kamare gibran ng IKN
ruu_syy,Wed May 15 13:29:39 +0000 2024,@minchanisme iya gilaaa : ukt mahal pertalite mau diapusin bbm naik dua ini naik pasti semua harga naik ppn mungkin jg IKN gas terus dg segala kemewahannya buat pemerintah masalah ga diselesain dari akar dan selalu rakyat yg disuruh gerak halahh ta 
juundiii,Wed May 15 13:26:42 +0000 2024,@kumparan Pemerintah kita ga all out mengamalkan amanat konstitusi mencerdaskan kehidupan bangsa -nya masih mending uangnya dipake bangun rumah pejabat di ikn yang mewah itu nampaknya
hyuktannie_bebe,Wed May 15 13:22:47 +0000 2024,@cherygirrll kan bakal ikn wkwk
satriomahadi,Wed May 15 13:22:08 +0000 2024,Ke IKN aja
AndroMe23,Wed May 15 13:18:07 +0000 2024,@Tita83079013 Sindir food estate sama ikn ya babat hutan?
rchkrn13,Wed May 15 13:13:20 +0000 2024,@kaktelur Makin keliatan BU banget ken semua anggaran dipotong buat IKN tae
yeinurarea,Wed May 15 13:11:19 +0000 2024,@jjoysbahng kalo di ikn gue giveaway 1 tiket
