"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1790724182831169845","Wed May 15 23:54:40 +0000 2024","2","@tanyarlfes WKWKWKWK MIMPI APA LU PADA sekarang orang orangan mereka mah lebih tertarik sama makan siang sama IKN ini aja harga barang barang pokok makin mahal gimana mau realisasiin PTN gratis duit darimana itu","1790893593785463210","","tanyarlfes","in","saturn","0","1","0","https://x.com/aetherienll/status/1790893593785463210","1736369291979890688","aetherienll"
"1790893179732160806","Wed May 15 23:53:01 +0000 2024","0","Terjebak Macet selama Tiga Jam di Kawasan IKN Nusantara https://t.co/669H4XWIrl","1790893179732160806","","","in","Indonesia","0","0","0","https://x.com/kompasiana/status/1790893179732160806","23786106","kompasiana"
"1790893102313644514","Wed May 15 23:52:43 +0000 2024","0","Jadi presidennya mau. Giliran disuruh pindah ke IKN ogah. LMAO ","1790893102313644514","","","in","indonesia","0","0","0","https://x.com/lokastiti/status/1790893102313644514","16882586","lokastiti"
"1790892748943573084","Wed May 15 23:52:30 +0000 2024","0","Kebutuhan primer harus di utamakan bahkan di undang-undangkan ygy.. gw juga mau sih tinggal di IKN kalo udah jadi","1790893047997452415","","Kanoysim","in","","0","1","0","https://x.com/Kanoysim/status/1790893047997452415","1527903910002044928","Kanoysim"
"1790892748943573084","Wed May 15 23:51:19 +0000 2024","0","OH FUCKKK! IKN KEBUTUHAN PRIMER PEJABAT COLI IKN PAKE UKT MAHASISWA ","1790892748943573084","","","in","","0","2","0","https://x.com/Kanoysim/status/1790892748943573084","1527903910002044928","Kanoysim"
"1790788831949869345","Wed May 15 23:48:58 +0000 2024","22","@Andria75777 Mampus kelen...wkwkwkkw . Makan tuh IKN! kami orang Jawa saja tidak suka Jkw dan gengnya kenapa kelen malah dukung??","1790892157689291260","","Andria75777","in","","0","0","1","https://x.com/PartaiPonsel/status/1790892157689291260","911569768699723777","PartaiPonsel"
"1790703143149593000","Wed May 15 23:48:55 +0000 2024","0","@dekade_08 semoga saya sih paling khawatir ttg nasib IKN ke depan @jokowi @budimandjatmiko @PDI_Perjuangan @gibran_tweet","1790892144905064770","","dekade_08","in","NKRI","0","0","0","https://x.com/Judakusumah1/status/1790892144905064770","1603521097827094529","Judakusumah1"
"1790892029670805755","Wed May 15 23:48:27 +0000 2024","0","Tkt pendidikan berhubungan erat dg kesejahteraan masy. Klo negara pengen maju maka harus berinves di bid pendidikan. Bukan berinves di IKN KA cepat air port dll. Lihat jepang pasca bom atom hal yg pertama dilakukan kaisarnya adl mengumpulkan guru2 yg tersisa @nadiemmakarim","1790892029670805755","","","in","","0","0","0","https://x.com/lampu_patromaks/status/1790892029670805755","1681507194901254144","lampu_patromaks"
"1790891735901679703","Wed May 15 23:47:17 +0000 2024","1","Pemerintah Siapkan 10 Strategi Pengembangan Desa di Sekitar IKN. Ten Hag FA Cup Amad Sandra Dewi Martial Arsenal https://t.co/jPpVttJwQj","1790891735901679703","https://pbs.twimg.com/media/GNqGhlCaIAAemCR.jpg","","in","","0","0","1","https://x.com/FudJar57505/status/1790891735901679703","1751099482706751488","FudJar57505"
"1790652181022179790","Wed May 15 23:47:06 +0000 2024","2","@HechiAnget @rootswe2dluv @ub_mfs Jadi wajar sekarang biaya ukt naik di seluruh indonesia ya begitulah mungkin bantuan untuk meringankan ukt larinya ke ikn yang bahkan pejabat2 dpr ogah pindah ke sana","1790891689063907823","","HechiAnget","in","","0","0","0","https://x.com/MuqaffiAbd/status/1790891689063907823","1319341735449751552","MuqaffiAbd"
"1790891462252728405","Wed May 15 23:46:12 +0000 2024","1","Mengupas Kecanggihan Bangunan Cerdas Istana Negara IKN. Sandra Dewi Fuji Indomie Ketek Yunita Tempe https://t.co/6Y6hhtX9tf","1790891462252728405","https://pbs.twimg.com/media/GNqGRCJbcAA-SLa.jpg","","in","","0","0","1","https://x.com/SbywibowoMega/status/1790891462252728405","1751087661799059456","SbywibowoMega"
"1790890720494252216","Wed May 15 23:43:15 +0000 2024","1","VLR SDGs IKN 2024 Akan Menjadi Peta Jalan Solusi Konkret SDGs Dan Gambaran Baseline Area IKN. Sandra Dewi Fuji Tempe Ketek Indomie Qodari https://t.co/djkOUCutqM","1790890720494252216","https://pbs.twimg.com/media/GNqFlPZaMAE3TJQ.jpg","","in","","0","0","1","https://x.com/ProTunaa/status/1790890720494252216","1751070540226576384","ProTunaa"
"1790890528269385765","Wed May 15 23:42:29 +0000 2024","0","Presiden terpilih Prabowo Subianto tegas nyatakan sikap akan lanjutkan pembangunan IKN #ikn #IndonesiaMaju #şükür #ZangHaiZhuan #TheChase https://t.co/Vd04pb114A","1790890528269385765","https://pbs.twimg.com/media/GNqFcb4bwAANqws.jpg","","in","","0","0","0","https://x.com/talithazhafira_/status/1790890528269385765","1771553271620263936","talithazhafira_"
"1790890426318348441","Wed May 15 23:42:05 +0000 2024","1","Otorita IKN Sukses Tarik Minat 8 Raksasa Teknologi Dunia Bangun Command Center Ultimate. Ten Hag Hojlund Sandra Dewi FA Cup Casemiro Amad https://t.co/ii3X4JI1JZ","1790890426318348441","https://pbs.twimg.com/media/GNqFUvObQAAFnbq.jpg","","in","","0","0","1","https://x.com/PejuangBeruk/status/1790890426318348441","1751063313096880128","PejuangBeruk"
"1790724182831169845","Wed May 15 23:41:04 +0000 2024","0","@tanyarlfes Haha mimpi... cuma orang begok yang percaya.. makan siang gratis IKN bikin 300 fakultas kedokteran ribuan beasiswa keluar negri dan janji2 wah beliau yang lain.. uang dari mana.. pinter dikit lah..","1790890169106894987","","tanyarlfes","in","","0","0","0","https://x.com/bintangfajar33/status/1790890169106894987","1511466264648384519","bintangfajar33"
"1790889662753722728","Wed May 15 23:39:03 +0000 2024","0","pajaknya buat ikn yg ga penting itu","1790889662753722728","","","in","Jawa Barat, Indonesia","0","0","0","https://x.com/investekor/status/1790889662753722728","1041847951977369600","investekor"
"1790619500213334402","Wed May 15 23:38:33 +0000 2024","1","@BebySoSweet jangan di beriskorsing Mutasi ke IKN","1790889535758610811","","BebySoSweet","in","","0","0","0","https://x.com/jun_pemulung/status/1790889535758610811","1038958284","jun_pemulung"
"1790887918636351878","Wed May 15 23:32:07 +0000 2024","1","Dulu... Kau (IKN) adalah segalanya gak ada yang lain sampe akhirku Sekarang... Aku berubah pikiran... https://t.co/LHW3gJZpM6","1790887918636351878","https://pbs.twimg.com/media/GNqDEgSbYAACkQo.jpg","","in","di awang awang","0","0","1","https://x.com/_Marlboro1/status/1790887918636351878","1749842801658089472","_Marlboro1"
