Unnamed: 0,full_text,created_at,cleaned
1392,@fairyssom dan di ikn pemerataan perekonomian nya pastinya bagus #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:15:34 +0000 2023, dan di ikn pemerataan perekonomian nya pastinya bagus  IbukotaBaru SolusiMasaDepan
1393,Demi masa depan Indonesia pemindahan IKN jadi solusi yang tepat #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan https://t.co/54gycwldPg,Mon Dec 04 07:16:03 +0000 2023,Demi masa depan Indonesia pemindahan IKN jadi solusi yang tepat  IbukotaBaru SolusiMasaDepan 
1394,hadir menjadi solusi untuk pemerintahan di Indonesia di masa depan lebih baik dan maju #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan https://t.co/88mKAn5HzF,Mon Dec 04 07:16:04 +0000 2023,hadir menjadi solusi untuk pemerintahan di Indonesia di masa depan lebih baik dan maju  IbukotaBaru SolusiMasaDepan 
1395,@bantalkusam_id #IKNSolusiMasaDepan yang nyata untuk itu Kalimantan menjadi IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:15:11 +0000 2023,  yang nyata untuk itu Kalimantan menjadi IbukotaBaru SolusiMasaDepan
1396,@Mahummah samaa. aku juga setuju sih #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:15:13 +0000 2023, samaa aku juga setuju sih  IbukotaBaru SolusiMasaDepan
1397,Asal niatnya baik sih ga masalah ya. Tujuannya diteguhkan dulu. Pembangunan IbukotaBaru adalah SolusiMasaDepan. Perencanaannya juga harus matang. #IKNSolusiMasaDepan https://t.co/Z70yftT5Ci,Mon Dec 04 07:15:32 +0000 2023,Asal niatnya baik sih ga masalah ya Tujuannya diteguhkan dulu Pembangunan IbukotaBaru adalah SolusiMasaDepan Perencanaannya juga harus matang  
1398,@chippiput Pindah ibukota negara ke Kalimantan memang solusi yang tepat #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:15:01 +0000 2023, Pindah ibukota negara ke Kalimantan memang solusi yang tepat  IbukotaBaru SolusiMasaDepan
1399,@Komariyahhhh Ternyata kontribusinya Kalimantan diluar ekspektasi ya guys #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:14:52 +0000 2023, Ternyata kontribusinya Kalimantan diluar ekspektasi ya guys  IbukotaBaru SolusiMasaDepan
1400,@chippiput kalo gue si setuju aja kalau #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:14:42 +0000 2023, kalo gue si setuju aja kalau  IbukotaBaru SolusiMasaDepan
1401,IbukotaBaru SolusiMasaDepan untuk mengatasi masalah kepadatan penduduk dan kemacetan di Jakarta. #IKNSolusiMasaDepan https://t.co/0azMldl5ay,Mon Dec 04 07:14:38 +0000 2023,IbukotaBaru SolusiMasaDepan untuk mengatasi masalah kepadatan penduduk dan kemacetan di Jakarta  
1402,aku setuju dg M Lutfi Indonesia harus sejahtera dg merata setuju bgt kalo IbukotaBaru SolusiMasaDepan #IKNSolusiMasaDepan https://t.co/UvnkRPrRfV,Mon Dec 04 07:14:32 +0000 2023,aku setuju dg M Lutfi Indonesia harus sejahtera dg merata setuju bgt kalo IbukotaBaru SolusiMasaDepan  
1403,@fairyssom bisa kita lihat dari kebijakan pak Jokowi slama ini dan pak jokowi semuanya bisa menyelesaikan nya #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:14:26 +0000 2023, bisa kita lihat dari kebijakan pak Jokowi slama ini dan pak jokowi semuanya bisa menyelesaikan nya  IbukotaBaru SolusiMasaDepan
1404,@sabartenn betul pemerataan harus dilakukan demi Indonesia nlebih baik #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:14:12 +0000 2023, betul pemerataan harus dilakukan demi Indonesia nlebih baik  IbukotaBaru SolusiMasaDepan
1405,@BHauser Iya bener banget #IKNSolusiMasaDepan Kalimantan akan menjadi IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:14:03 +0000 2023, Iya bener banget  Kalimantan akan menjadi IbukotaBaru SolusiMasaDepan
1406,@rixzuza kesejahteraan masyarakat makin merata nih #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:13:33 +0000 2023, kesejahteraan masyarakat makin merata nih  IbukotaBaru SolusiMasaDepan
1407,Indonesia akan lebih maju solusi terbaik untuk masa depan #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan https://t.co/9ngnWLnHzH,Mon Dec 04 07:13:43 +0000 2023,Indonesia akan lebih maju solusi terbaik untuk masa depan  IbukotaBaru SolusiMasaDepan 
1408,Pembangunan IbukotaBaru adalah SolusiMasaDepan. Perencanaannya juga harus matang. #IKNSolusiMasaDepan https://t.co/5fx3mca2Dg,Mon Dec 04 07:14:03 +0000 2023,Pembangunan IbukotaBaru adalah SolusiMasaDepan Perencanaannya juga harus matang  
1409,@jenaayss iyaa kaann setuju banget deh dengan pembangunan IKN sebagai solusi terbaik untuk kemajuan Indonesia nih.. #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:13:18 +0000 2023, iyaa kaann setuju banget deh dengan pembangunan IKN sebagai solusi terbaik untuk kemajuan Indonesia nih  IbukotaBaru SolusiMasaDepan
1410,@nafian1010 dengan pindah ibukota Indonesia akan bs lebih maju #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:13:17 +0000 2023, dengan pindah ibukota Indonesia akan bs lebih maju  IbukotaBaru SolusiMasaDepan
1411,@Mahummah Iya masalah yg terjadi di ibu kota saat ini bisa diselesaikan dengan pindah ke IKN #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:13:13 +0000 2023, Iya masalah yg terjadi di ibu kota saat ini bisa diselesaikan dengan pindah ke IKN  IbukotaBaru SolusiMasaDepan
1412,@chippiput saya juga setuju niih dengan #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:13:05 +0000 2023, saya juga setuju niih dengan  IbukotaBaru SolusiMasaDepan
1413,@nafian1010 percepatan ekonomi harus segera dilakukan salah satunya dengan pindah ibukota #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:12:45 +0000 2023, percepatan ekonomi harus segera dilakukan salah satunya dengan pindah ibukota  IbukotaBaru SolusiMasaDepan
1414,@jenaayss #IKNSolusiMasaDepan . jadi saya juga setuju dengan adanya pemindahan ibukota negara .. IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:12:33 +0000 2023,   jadi saya juga setuju dengan adanya pemindahan ibukota negara  IbukotaBaru SolusiMasaDepan
1415,@jenaayss Saatnya bandul pemerintahan pindah ke Kalimantan IbukotaBaru SolusiMasaDepan #IKNSolusiMasaDepan,Mon Dec 04 07:12:31 +0000 2023, Saatnya bandul pemerintahan pindah ke Kalimantan IbukotaBaru SolusiMasaDepan 
1416,IbukotaBaru SolusiMasaDepan Dengan memindahkan pusat pemerintahan dan aktivitas ekonomi ke Ibukota Nusantara akan terjadi redistribusi penduduk dan pembangunan di seluruh wilayah Indonesia. #IKNSolusiMasaDepan https://t.co/OJ2HGI6tkX,Mon Dec 04 07:12:27 +0000 2023,IbukotaBaru SolusiMasaDepan Dengan memindahkan pusat pemerintahan dan aktivitas ekonomi ke Ibukota Nusantara akan terjadi redistribusi penduduk dan pembangunan di seluruh wilayah Indonesia  
1417,Pemindahan IKN untuk jadi IbukotaBaru di Kalimantan akan jadi SolusiMasaDepan. #IKNSolusiMasaDepan https://t.co/nhZwqJlFtZ,Mon Dec 04 07:12:27 +0000 2023,Pemindahan IKN untuk jadi IbukotaBaru di Kalimantan akan jadi SolusiMasaDepan  
1418,@fairyssom yupss bener banget ka itu smua udah dipikirkan sama beliau #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:12:26 +0000 2023, yupss bener banget ka itu smua udah dipikirkan sama beliau  IbukotaBaru SolusiMasaDepan
1419,@chippiput IbukotaBaru: Masa depan yang cerah dengan #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:12:01 +0000 2023, IbukotaBaru Masa depan yang cerah dengan  IbukotaBaru SolusiMasaDepan
1420,@rimasap931 Banyak kontribusinya ya. Ga salah sih kalo dijadiin IbukotaBaru. #IKNSolusiMasaDepan,Mon Dec 04 07:11:55 +0000 2023, Banyak kontribusinya ya Ga salah sih kalo dijadiin IbukotaBaru 
1421,@sayadebus bener banget nih kita harus banyak belajar sejarah yaa Kalimantan juga besar kontribusinya untuk Indonesia lhoo.. #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:11:53 +0000 2023, bener banget nih kita harus banyak belajar sejarah yaa Kalimantan juga besar kontribusinya untuk Indonesia lhoo  IbukotaBaru SolusiMasaDepan
1422,@Kdzaa_ hadirnya ikn mampu bawa perubahan makin baik lagi doong pastinya #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:11:53 +0000 2023, hadirnya ikn mampu bawa perubahan makin baik lagi doong pastinya  IbukotaBaru SolusiMasaDepan
1423,@RWartini1698 Semoga bisa cepat terlaksanakan untuk kebaikan bersama #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:11:52 +0000 2023, Semoga bisa cepat terlaksanakan untuk kebaikan bersama  IbukotaBaru SolusiMasaDepan
1424,@cimotyy #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan ini sangat bagus dan harus didukung,Mon Dec 04 07:11:49 +0000 2023,  IbukotaBaru SolusiMasaDepan ini sangat bagus dan harus didukung
1425,@nafian1010 perpindahan ibukota harus segera dilakukan #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:11:48 +0000 2023, perpindahan ibukota harus segera dilakukan  IbukotaBaru SolusiMasaDepan
1426,@sayadebus Betul banget dong emang pemindahan Ibu Kota Negara ini sudah direncanakan dari dulu #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:11:46 +0000 2023, Betul banget dong emang pemindahan Ibu Kota Negara ini sudah direncanakan dari dulu  IbukotaBaru SolusiMasaDepan
1427,IbukotaBaru: Masa depan yang cerah dengan #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan https://t.co/vjjyjlI3eM,Mon Dec 04 07:11:43 +0000 2023,IbukotaBaru Masa depan yang cerah dengan  IbukotaBaru SolusiMasaDepan 
1428,IbukotaBaru SolusiMasaDepan memang paling tepat saya yakin Indonesia bakal lebih maju #IKNSolusiMasaDepan https://t.co/s5OSg0jetk,Mon Dec 04 07:11:30 +0000 2023,IbukotaBaru SolusiMasaDepan memang paling tepat saya yakin Indonesia bakal lebih maju  
1429,@fairyssom pastinya pak Jokowi sudah memikirkan yg terbaik buat bangsa ini #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:11:30 +0000 2023, pastinya pak Jokowi sudah memikirkan yg terbaik buat bangsa ini  IbukotaBaru SolusiMasaDepan
1430,@rixzuza kesejahteraan pembangunan dan warga negara pasti jd makin merata #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:11:10 +0000 2023, kesejahteraan pembangunan dan warga negara pasti jd makin merata  IbukotaBaru SolusiMasaDepan
1431,@RWartini1698 Iya dan kontribusi kalimantan itu yg akan jadi solusinya #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:11:09 +0000 2023, Iya dan kontribusi kalimantan itu yg akan jadi solusinya  IbukotaBaru SolusiMasaDepan
1432,@NyiurrMelambai Dan IKN adalah Jawabannya #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:11:04 +0000 2023, Dan IKN adalah Jawabannya  IbukotaBaru SolusiMasaDepan
1433,@lenasal590 Mari bersama-sama membangun masa depan yang lebih baik dengan IKN #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:10:59 +0000 2023, Mari bersamasama membangun masa depan yang lebih baik dengan IKN  IbukotaBaru SolusiMasaDepan
1434,Ya ga salah juga sih memutuskan IbukotaBaru di Kalimantan. Siapa yang tahu kalau itu nanti jadi SolusiMasaDepan. #IKNSolusiMasaDepan https://t.co/hNFdIXSI8h,Mon Dec 04 07:10:58 +0000 2023,Ya ga salah juga sih memutuskan IbukotaBaru di Kalimantan Siapa yang tahu kalau itu nanti jadi SolusiMasaDepan  
1435,@rixzuza gue juga dukung bgt kalau memang #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:10:35 +0000 2023, gue juga dukung bgt kalau memang  IbukotaBaru SolusiMasaDepan
1436,Inilah solusi masa depan yang kita butuhkan: IKN #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan https://t.co/Tekg4f6TKN,Mon Dec 04 07:10:28 +0000 2023,Inilah solusi masa depan yang kita butuhkan IKN  IbukotaBaru SolusiMasaDepan 
1437,@nafian1010 Ibukota harus segera pindah sih menurut ku #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:10:25 +0000 2023, Ibukota harus segera pindah sih menurut ku  IbukotaBaru SolusiMasaDepan
1438,@Komariyahhhh Pak Anies itu hanya memakai metode lama sedangkan proyeknya saja entah gimana di Jakarta sudah ditinggal pergi #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:10:13 +0000 2023, Pak Anies itu hanya memakai metode lama sedangkan proyeknya saja entah gimana di Jakarta sudah ditinggal pergi  IbukotaBaru SolusiMasaDepan
1439,@jenaayss Iya kak samaan aku juga setuju semua itu udah ada UUnya #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:10:06 +0000 2023, Iya kak samaan aku juga setuju semua itu udah ada UUnya  IbukotaBaru SolusiMasaDepan
1440,@chippiput iyaa nih betul banget semoga dengan adanya pembangunan IKN dapat menjadikan kesejahteraan rakyat Indonesia lebih merata yaa.. #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:10:01 +0000 2023, iyaa nih betul banget semoga dengan adanya pembangunan IKN dapat menjadikan kesejahteraan rakyat Indonesia lebih merata yaa  IbukotaBaru SolusiMasaDepan
1441,@transfter @Mahummah #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan yaaaa,Mon Dec 04 07:09:50 +0000 2023,   IbukotaBaru SolusiMasaDepan yaaaa
1442,@talas784132 dengan IKN menuju kemajuan bangsa Indonesia #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:09:46 +0000 2023, dengan IKN menuju kemajuan bangsa Indonesia  IbukotaBaru SolusiMasaDepan
1443,@chippiput @Mahummah #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan bangetttttttt,Mon Dec 04 07:09:37 +0000 2023,   IbukotaBaru SolusiMasaDepan bangetttttttt
1444,@nafian1010 perubahan demi masa depan bangsa #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:09:15 +0000 2023, perubahan demi masa depan bangsa  IbukotaBaru SolusiMasaDepan
1445,Itu sebabnya pemerintah memindahkan ibukota ke Kalimantan #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan https://t.co/Oa8QSzH6UH,Mon Dec 04 07:09:30 +0000 2023,Itu sebabnya pemerintah memindahkan ibukota ke Kalimantan  IbukotaBaru SolusiMasaDepan 
1446,@bagols11 yaps .. bener banget sih padhal sudah jelas kalau #IKNSolusiMasaDepan IbukotaBaru SolusiMasaDepan,Mon Dec 04 07:09:11 +0000 2023, yaps  bener banget sih padhal sudah jelas kalau  IbukotaBaru SolusiMasaDepan
