full_text,username,cleaned,case_fold,token,stop,stemmed
Besaran Dana APBN yang Dipakai IKN Nusantara hingga 2023 Jumlah Anggaran yang Disiapkan Tahun 2024 #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #APBN https://t.co/wIAOk6ECLe lewat @tribunkaltim,tribunkaltim,Besaran Dana APBN yang Dipakai IKN Nusantara hingga 2023 Jumlah Anggaran yang Disiapkan Tahun 2024       lewat ,besaran dana apbn yang dipakai ikn nusantara hingga  jumlah anggaran yang disiapkan tahun        lewat,"['besaran', 'dana', 'apbn', 'yang', 'dipakai', 'ikn', 'nusantara', 'hingga', 'jumlah', 'anggaran', 'yang', 'disiapkan', 'tahun', 'lewat']","['besaran', 'dana', 'apbn', 'dipakai', 'ikn', 'nusantara', 'hingga', 'jumlah', 'anggaran', 'disiapkan', 'tahun', 'lewat']","['besar', 'dana', 'apbn', 'pakai', 'ikn', 'nusantara', 'hingga', 'jumlah', 'anggar', 'siap', 'tahun', 'lewat']"
Beberapa Faktor Pemilihan Lokasi IKN #IKN #ibukotanusantara #ibukotabaru #ibukotanegara https://t.co/AgaqFO5Ja5,VanessaPadmana7,Beberapa Faktor Pemilihan Lokasi IKN     ,beberapa faktor pemilihan lokasi ikn,"['beberapa', 'faktor', 'pemilihan', 'lokasi', 'ikn']","['beberapa', 'faktor', 'pemilihan', 'lokasi', 'ikn']","['beberapa', 'faktor', 'pilih', 'lokasi', 'ikn']"
Alokasi belanja IKN hingga 2024 #IKN #ibukotanusantara #ibukotabaru #ibukotanegara https://t.co/U43LWMKhZP,VanessaPadmana7,Alokasi belanja IKN hingga 2024     ,alokasi belanja ikn hingga,"['alokasi', 'belanja', 'ikn', 'hingga']","['alokasi', 'belanja', 'ikn', 'hingga']","['alokasi', 'belanja', 'ikn', 'hingga']"
Pembangunan IKN nusantara membuat kemajuan #IKN #ibukotanusantara #ibukotabaru #ibukotanegara https://t.co/ecNMUbNAps,VanessaPadmana7,Pembangunan IKN nusantara membuat kemajuan     ,pembangunan ikn nusantara membuat kemajuan,"['pembangunan', 'ikn', 'nusantara', 'membuat', 'kemajuan']","['pembangunan', 'ikn', 'nusantara', 'membuat', 'kemajuan']","['bangun', 'ikn', 'nusantara', 'buat', 'maju']"
Tahun 2023 IKN Nusantara sudah Sedot APBN Rp 26 7 T Banggar DPR Ingatkan Kurangnya Minat Swasta #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #investasi #APBN https://t.co/azORmxO6MA lewat @tribunkaltim,tribunkaltim,Tahun 2023 IKN Nusantara sudah Sedot APBN Rp 26 7 T Banggar DPR Ingatkan Kurangnya Minat Swasta          lewat ,tahun  ikn nusantara sudah sedot apbn rp   t banggar dpr ingatkan kurangnya minat swasta          lewat,"['tahun', 'ikn', 'nusantara', 'sudah', 'sedot', 'apbn', 'rp', 't', 'banggar', 'dpr', 'ingatkan', 'kurangnya', 'minat', 'swasta', 'lewat']","['tahun', 'ikn', 'nusantara', 'sedot', 'apbn', 'rp', 't', 'banggar', 'dpr', 'ingatkan', 'kurangnya', 'minat', 'swasta', 'lewat']","['tahun', 'ikn', 'nusantara', 'sedot', 'apbn', 'rp', 't', 'banggar', 'dpr', 'ingat', 'kurang', 'minat', 'swasta', 'lewat']"
Tahun 2023 IKN Nusantara sudah Sedot APBN Rp 26 7 T Banggar DPR Ingatkan Kurangnya Minat Swasta #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #investasi #APBN https://t.co/azORmxOEC8 lewat @tribunkaltim,tribunkaltim,Tahun 2023 IKN Nusantara sudah Sedot APBN Rp 26 7 T Banggar DPR Ingatkan Kurangnya Minat Swasta          lewat ,tahun  ikn nusantara sudah sedot apbn rp   t banggar dpr ingatkan kurangnya minat swasta          lewat,"['tahun', 'ikn', 'nusantara', 'sudah', 'sedot', 'apbn', 'rp', 't', 'banggar', 'dpr', 'ingatkan', 'kurangnya', 'minat', 'swasta', 'lewat']","['tahun', 'ikn', 'nusantara', 'sedot', 'apbn', 'rp', 't', 'banggar', 'dpr', 'ingatkan', 'kurangnya', 'minat', 'swasta', 'lewat']","['tahun', 'ikn', 'nusantara', 'sedot', 'apbn', 'rp', 't', 'banggar', 'dpr', 'ingat', 'kurang', 'minat', 'swasta', 'lewat']"
Banggar DPR RI Soroti Dana APBN untuk IKN Nusantara OIKN Yakin Target 80 Persen Non-APBN Tercapai #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #investasi #APBN #BanggarDPR https://t.co/68utEkJyYn lewat @tribunkaltim,tribunkaltim,Banggar DPR RI Soroti Dana APBN untuk IKN Nusantara OIKN Yakin Target 80 Persen NonAPBN Tercapai         lewat ,banggar dpr ri soroti dana apbn untuk ikn nusantara oikn yakin target  persen nonapbn tercapai         lewat,"['banggar', 'dpr', 'ri', 'soroti', 'dana', 'apbn', 'untuk', 'ikn', 'nusantara', 'oikn', 'yakin', 'target', 'persen', 'nonapbn', 'tercapai', 'lewat']","['banggar', 'dpr', 'ri', 'soroti', 'dana', 'apbn', 'ikn', 'nusantara', 'oikn', 'yakin', 'target', 'persen', 'nonapbn', 'tercapai', 'lewat']","['banggar', 'dpr', 'ri', 'sorot', 'dana', 'apbn', 'ikn', 'nusantara', 'oikn', 'yakin', 'target', 'persen', 'nonapbn', 'capai', 'lewat']"
Literally kota masa depan banget yaahhh️ #majalabs #IKN #ibukotanusantara #blockchaintechnology #ArtificialIntelligence https://t.co/HXirKHdpTn,majalabs_xyz,Literally kota masa depan banget yaahhh️      ,literally kota masa depan banget yaahhh️,"['literally', 'kota', 'masa', 'depan', 'banget', 'yaahhh️']","['literally', 'kota', 'masa', 'depan', 'banget', 'yaahhh️']","['literally', 'kota', 'masa', 'depan', 'banget', 'yaahhh']"
Kemenkeu Pastikan Perlakuan Insentif Pajak Untuk IKN Akan Fleksibel Berita selengkapnya di https://t.co/h15hHzhW2m #sfconsulting #sfgroup #pajakuntukkita #ibukotanusantara #kanwilbeacukai #konsultan #pajak #legal #customs #transferpricing #compliance https://t.co/3RwgFjwTmZ,consulting_sf,Kemenkeu Pastikan Perlakuan Insentif Pajak Untuk IKN Akan Fleksibel Berita selengkapnya di             ,kemenkeu pastikan perlakuan insentif pajak untuk ikn akan fleksibel berita selengkapnya di,"['kemenkeu', 'pastikan', 'perlakuan', 'insentif', 'pajak', 'untuk', 'ikn', 'akan', 'fleksibel', 'berita', 'selengkapnya', 'di']","['kemenkeu', 'pastikan', 'perlakuan', 'insentif', 'pajak', 'ikn', 'fleksibel', 'berita', 'selengkapnya']","['kemenkeu', 'pasti', 'laku', 'insentif', 'pajak', 'ikn', 'fleksibel', 'berita', 'lengkap']"
SelamatSiang Sobat Abipraya! Brantas Abipraya bangun 14 embung IKN sebagaisalah satu upaua untuk menanggulangi luapan air hujan di kawasan IbukotaNusantara. Berlokasi di Kecamatan Sepaku Kabupaten Penajam PaserUtara Kalimantan Timur. #AbiprayaBangun14EmbungdiIKN https://t.co/eURZvyWv8P,bumnjambijitu1,SelamatSiang Sobat Abipraya Brantas Abipraya bangun 14 embung IKN sebagaisalah satu upaua untuk menanggulangi luapan air hujan di kawasan IbukotaNusantara Berlokasi di Kecamatan Sepaku Kabupaten Penajam PaserUtara Kalimantan Timur  ,selamatsiang sobat abipraya brantas abipraya bangun  embung ikn sebagaisalah satu upaua untuk menanggulangi luapan air hujan di kawasan ibukotanusantara berlokasi di kecamatan sepaku kabupaten penajam paserutara kalimantan timur,"['selamatsiang', 'sobat', 'abipraya', 'brantas', 'abipraya', 'bangun', 'embung', 'ikn', 'sebagaisalah', 'satu', 'upaua', 'untuk', 'menanggulangi', 'luapan', 'air', 'hujan', 'di', 'kawasan', 'ibukotanusantara', 'berlokasi', 'di', 'kecamatan', 'sepaku', 'kabupaten', 'penajam', 'paserutara', 'kalimantan', 'timur']","['selamatsiang', 'sobat', 'abipraya', 'brantas', 'abipraya', 'bangun', 'embung', 'ikn', 'sebagaisalah', 'satu', 'upaua', 'menanggulangi', 'luapan', 'air', 'hujan', 'kawasan', 'ibukotanusantara', 'berlokasi', 'kecamatan', 'sepaku', 'kabupaten', 'penajam', 'paserutara', 'kalimantan', 'timur']","['selamatsiang', 'sobat', 'abipraya', 'brantas', 'abipraya', 'bangun', 'embung', 'ikn', 'sebagaisalah', 'satu', 'upaua', 'tanggulang', 'luap', 'air', 'hujan', 'kawasan', 'ibukotanusantara', 'lokasi', 'camat', 'paku', 'kabupaten', 'najam', 'paserutara', 'kalimantan', 'timur']"
