created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Sep 16 03:03:53 +0000 2022;1570609387164831746;"Menteri ATR/Kepala BPN Janji Perhatikan Hak Masyarakat Adat di IKN, terus Kerja Sama dengan KLHK   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur  https://t.co/r88tkjnVAj lewat @tribunkaltim";0;0;0;0;in;103551225;1570609387164831746;tribunkaltim;https://twitter.com/tribunkaltim/status/1570609387164831746
Wed Sep 14 08:31:00 +0000 2022;1569966933910355969;"Daftar Rencana Detail Tata Ruang IKN yang Ditarget Selesai 2022, dari IKN Utara hingga Muara Jawa   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #MuaraJawa #Samboja  https://t.co/HHZF0mzPiz lewat @tribunkaltim";0;0;0;0;in;103551225;1569966933910355969;tribunkaltim;https://twitter.com/tribunkaltim/status/1569966933910355969
Wed Sep 14 03:01:44 +0000 2022;1569884073170210816;"Daftar Rencana Detail Tata Ruang IKN yang Ditarget Selesai 2022, dari IKN Utara hingga Muara Jawa   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #MuaraJawa #Samboja  https://t.co/HHZF0mAn87 lewat @tribunkaltim";0;0;0;0;in;103551225;1569884073170210816;tribunkaltim;https://twitter.com/tribunkaltim/status/1569884073170210816
Tue Sep 13 11:45:00 +0000 2022;1569653368724652032;"Peluang Investasi Pembangunan di IKN Terbuka Bagi Negara Asing! | Flash News  Nonton selengkapnya disini https://t.co/31d3gjqHiq  #MataIndonesia #pembangunan #ibukotanusantara #beritaterkini #investasi";0;0;0;0;in;1040449533631651840;1569653368724652032;matamilenialID;https://twitter.com/matamilenialID/status/1569653368724652032
Tue Sep 13 09:31:00 +0000 2022;1569619645367287808;"Yusril Ihza Mahendra Dipanggil Jokowi, Bahas Aspek Hukum IKN dan Diminta Segera Temui Kepala Otorita   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #YusrilIhzaMahendra  https://t.co/hKpYbYqtuG lewat @tribunkaltim";0;0;0;0;in;103551225;1569619645367287808;tribunkaltim;https://twitter.com/tribunkaltim/status/1569619645367287808
Tue Sep 13 01:46:10 +0000 2022;1569502667122315269;"Yusril Ihza Mahendra Dipanggil Jokowi, Bahas Aspek Hukum IKN dan Diminta Segera Temui Kepala Otorita   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #YusrilIhzaMahendra  https://t.co/hKpYbYr1ke lewat @tribunkaltim";0;0;0;0;in;103551225;1569502667122315269;tribunkaltim;https://twitter.com/tribunkaltim/status/1569502667122315269
Mon Sep 12 07:31:00 +0000 2022;1569227058525487105;"Bahlil Yakin Pembiayaan IKN hanya 20 Persen yang Gunakan APBN, Optimis Banyak Negara akan Investasi   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur  https://t.co/6kVJKb4sey lewat @tribunkaltim";0;0;0;0;in;103551225;1569227058525487105;tribunkaltim;https://twitter.com/tribunkaltim/status/1569227058525487105
Mon Sep 12 00:38:59 +0000 2022;1569123373011337216;"Bahlil Yakin Pembiayaan IKN hanya 20 Persen yang Gunakan APBN, Optimis Banyak Negara akan Investasi   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur  https://t.co/6kVJKb5046 lewat @tribunkaltim";0;0;0;0;in;103551225;1569123373011337216;tribunkaltim;https://twitter.com/tribunkaltim/status/1569123373011337216
Fri Sep 09 01:25:49 +0000 2022;1568047995027095553;"Andesit rajabintik finishing polished kilap👷‍♂️  Wa.081222950965 owner https://t.co/TctKZkcK80  #banggabuatanindonesia  #banggaprodukindonesia  #kementrianpupr  #arsitekturindonesia  #bumn  #pokja  #marmer  #granit  #batualam  #ibukotanusantara  #pedestrian https://t.co/rUF5JI3sLf";0;0;0;0;in;1508592893615046660;1568047995027095553;sinergistone65;https://twitter.com/sinergistone65/status/1568047995027095553
Thu Sep 08 00:09:30 +0000 2022;1567666399908184071;"Demokrat Sebut IKN dan Infrastruktur Lain Perlu Ditinjau Ulang, Aksi Tolak Harga BBM Naik Digaungkan   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #Demokrat #BBM  https://t.co/aP9FVGM1k3 lewat @tribunkaltim";0;0;0;0;in;103551225;1567666399908184071;tribunkaltim;https://twitter.com/tribunkaltim/status/1567666399908184071
Wed Sep 07 08:34:09 +0000 2022;1567431010606026758;"Demokrat Sebut IKN dan Infrastruktur Lain Perlu Ditinjau Ulang, Aksi Tolak Harga BBM Naik Digaungkan   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #Demokrat #BBM  https://t.co/aP9FVGMz9B lewat @tribunkaltim";0;0;0;0;in;103551225;1567431010606026758;tribunkaltim;https://twitter.com/tribunkaltim/status/1567431010606026758
Tue Sep 06 01:09:00 +0000 2022;1566956597858865152;"Proyek PLTA Kayan yang Suplai Listrik ke IKN Nusantara Disorot, Walhi: Dokumen Amdal Sulit Diakses   #Walhi #Amdal #PLTAKayan #IKN #IKNNusantara #IbuKotaNusantara #IbuKotaNegara #Kaltara #KalimantanUtara #Kaltim #KalimantanTimur  https://t.co/lvfA4ZoiIu lewat @tribunkaltim";0;0;0;0;in;103551225;1566956597858865152;tribunkaltim;https://twitter.com/tribunkaltim/status/1566956597858865152
Thu Sep 01 23:41:33 +0000 2022;1565485038682402817;"Kemenhub Siap Keluarkan 277 Miliar untuk Ibu Kota Nusantara: Direktorat Jenderal Perhubungan Laut Kementerian Perhubungan (Kemenhub) siap mengeluarkan dana sebesar 277 miliar rupiah untuk biayai kegiatan… https://t.co/yeRs0M2O87 #News #Kemenhub #ibukotanusantara #anggaran2023";0;0;0;0;in;123757780;1565485038682402817;terkinidotid;https://twitter.com/terkinidotid/status/1565485038682402817
Mon Aug 29 10:15:26 +0000 2022;1564195009964179456;"Daftar 64 Proyek Infrastruktur IKN Nusantara Kaltim yang sedang dalam Proses Lelang, Ada Jalan Tol   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #KementerianPUPR  https://t.co/iaqrgyTr6u lewat @tribunkaltim";0;0;0;0;in;103551225;1564195009964179456;tribunkaltim;https://twitter.com/tribunkaltim/status/1564195009964179456
Sat Aug 27 12:07:59 +0000 2022;1563498558288203777;"@IntanAyuArimbi Pak @jokowi  Pak @KemenPU  supaya tidak banjir di IKN apakah ada juga jalan dengan konsep gorong" besar yg bisa buang air langsung ke laut ? #IKN  #IbukotaNegara  #IbukotaNusantara";0;0;0;0;in;391790390;1562324392721281024;iisakar;https://twitter.com/iisakar/status/1563498558288203777
Sat Aug 27 10:30:00 +0000 2022;1563473901723611136;"Pembangunan IKN Tahap Persiapan Sesuai Perencanaan | Flash News  Nonton selengkapnya disini https://t.co/ejx5eqeo3J  #MataIndonesia #ibukotanusantara #beritaterkini #flashnews";0;0;0;0;in;1040449533631651840;1563473901723611136;matamilenialID;https://twitter.com/matamilenialID/status/1563473901723611136
Sat Aug 27 04:25:49 +0000 2022;1563382250669948931;"Rincian 28 Proyek Pembangunan IKN Nusantara Kaltim Tahun 2022 dengan Alokasi Dana Rp 5,1 Triliun   #IKN  #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #MenteriPUPR #BasukiHadimuljono  https://t.co/XPAXzoseEx lewat @tribunkaltim";0;0;0;0;in;103551225;1563382250669948931;tribunkaltim;https://twitter.com/tribunkaltim/status/1563382250669948931
Fri Aug 26 02:09:00 +0000 2022;1562985430806437888;"Progres Jalan Lingkar Sepaku yang merupakan Akses Utama ke IKN Nusantara Kaltim yang sedang DIbangun   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #Sepaku #JalanLingkarSepaku  https://t.co/Xa0ghpkRBT lewat @tribunkaltim";0;0;0;0;in;103551225;1562985430806437888;tribunkaltim;https://twitter.com/tribunkaltim/status/1562985430806437888
Thu Aug 25 08:39:26 +0000 2022;1562721299335548928;"Progres Jalan Lingkar Sepaku yang merupakan Akses Utama ke IKN Nusantara Kaltim yang sedang DIbangun   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #Sepaku #JalanLingkarSepaku  https://t.co/Xa0ghpkRBT lewat @tribunkaltim";0;0;0;0;in;103551225;1562721299335548928;tribunkaltim;https://twitter.com/tribunkaltim/status/1562721299335548928
Wed Aug 24 10:31:00 +0000 2022;1562386987545403392;"Jokowi Dipastikan Batal ke IKN Nusantara Bulan Agustus Ini, Menteri PUPR: Pembangunan Tetap Lanjut   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur  https://t.co/mU4OGJ5IXN lewat @tribunkaltim";0;0;0;0;in;103551225;1562386987545403392;tribunkaltim;https://twitter.com/tribunkaltim/status/1562386987545403392
Wed Aug 24 05:09:33 +0000 2022;1562306094273245184;"Jokowi Dipastikan Batal ke IKN Nusantara Bulan Agustus Ini, Menteri PUPR: Pembangunan Tetap Lanjut   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur  https://t.co/mU4OGJnjPl lewat @tribunkaltim";0;0;0;0;in;103551225;1562306094273245184;tribunkaltim;https://twitter.com/tribunkaltim/status/1562306094273245184
Mon Aug 22 05:20:27 +0000 2022;1561584060891156481;"Telkom Resmikan Micro Edge DC neuCentrIX dan Digital Community Center di IKN  #digital #ibukotaNusantara #NeuCentrix #Telkom https://t.co/WBpaJREf0H lewat @selularid";0;0;0;1;in;57223495;1561584060891156481;SelularID;https://twitter.com/SelularID/status/1561584060891156481
Mon Aug 22 01:59:55 +0000 2022;1561533596166680576;"konsep kota hutan, kota spons dan kota cerdas.   Baca selengkapnya di https://t.co/LWm40LSdxz  #DitjenTataRuang #BersamaMenataRuang #IbuKotaNusantara";0;0;0;1;in;1326784227581550592;1561533582786854915;KantahPKLKota;https://twitter.com/KantahPKLKota/status/1561533596166680576
Mon Aug 22 01:09:00 +0000 2022;1561520779795353601;"Menteri PUPR Ungkap Kontribusi Hermanto Dardak dalam Pembangunan IKN Nusantara Kaltim   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #MenteriPUPR  https://t.co/MRCX7E6p0m lewat @tribunkaltim";0;0;0;0;in;103551225;1561520779795353601;tribunkaltim;https://twitter.com/tribunkaltim/status/1561520779795353601
Sun Aug 21 03:45:04 +0000 2022;1561197669694943232;"Menteri PUPR Ungkap Kontribusi Hermanto Dardak dalam Pembangunan IKN Nusantara Kaltim   #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #MenteriPUPR  https://t.co/MRCX7EnZRU lewat @tribunkaltim";0;0;0;0;in;103551225;1561197669694943232;tribunkaltim;https://twitter.com/tribunkaltim/status/1561197669694943232
Sun Aug 21 03:40:21 +0000 2022;1561196481209843712;"IKN Nusantara harapan baru bangsa Indonesia menuju Indonesia maju, adil dan merata. #ibukotanusantara #ibukotabaru #iknnusantara #ILoveIKNNusantara #Indonesiabaru #Indonesiamaju https://t.co/1f5uDWv7v9";0;0;1;2;in;1196811513559781376;1561196481209843712;dwirama89009610;https://twitter.com/dwirama89009610/status/1561196481209843712
